node,pressure
0,6650.0
1,6633.807232013536
2,6586.300469739275
3,6583.435745948038
4,6395.807578832725
5,6381.455868967986
6,6224.696723607857
7,6083.26956312111
8,6326.496146840582
9,6277.783828642445
10,6210.908620329953
11,6060.708340207541
12,6198.370257535178
13,6033.30326235343
14,5986.294821693869
15,5926.804542319633
16,5922.03380531014
17,5545.737331108911
18,5963.152883517626
19,5767.028945929093
20,5838.729209640378
21,5683.995142876931
22,5853.516538756678
23,5652.788682669722
24,5928.333061982888
25,5784.536320843271
26,6207.003890486421
27,6008.729866804893
28,6216.063596773496
29,6161.3273300541205
30,5846.398873542458
31,5797.65128187047
32,5845.393422430037
33,5776.463021474542
34,5273.61864120209
35,4954.680795591048
36,5338.546165904014
37,5167.464593330593
38,5503.989520190682
39,5274.910435387367
40,5692.463780803504
41,5627.683397841398
42,5586.948968374664
43,5469.362883962503
44,5576.829760133322
45,5479.718277883259
46,5494.584258894081
47,5347.166589191881
48,5496.005108682268
49,5359.287501383018
50,5666.597232640697
51,5578.382579026157
52,5659.846786361932
53,5568.059038709515
54,5838.827607406126
55,5714.6919733354725
56,5908.980729888252
57,5789.61086761363
58,6075.388693175036
59,6001.488185391961
60,6098.380336047367
61,6055.7990149643965
62,5740.432979089351
63,5674.4606504294225
64,5719.640158737825
65,5637.499294888475
66,4955.990502159789
67,4730.731617598868
68,5097.463112225783
69,4974.039350535781
70,5092.074197064298
71,4980.885811247681
72,5153.514521388801
73,5043.423789954354
74,5534.386601715891
75,5471.182628759199
76,5544.773981519437
77,5491.708539597264
78,5363.913018799069
79,5276.219752155812
80,5438.81562540572
81,5363.396959860034
82,5270.867839241125
83,5207.374416264216
84,5222.898127012225
85,5148.602706310558
86,5270.983066703817
87,5139.138037934017
88,5285.855197737822
89,4915.850416179779
90,5449.213285839159
91,5354.89118272593
92,5467.603183495427
93,5271.60184870197
94,5432.438907473511
95,5353.936439834157
96,5454.011487271486
97,5227.626621470363
98,5661.7885509660955
99,5576.937732129315
100,5568.9031708094335
101,5466.684692804105
102,5951.348729058117
103,5848.987396169223
104,5828.489885973391
105,5684.240088205364
106,4994.790866063904
107,4906.583377931497
108,4920.349984604099
109,4858.330840488841
110,5162.313300972218
111,5016.826300558817
112,5151.5957099858315
113,5038.856463275163
114,5171.067037556243
115,5138.957841358126
116,5166.346234114673
117,5074.546486161704
118,5269.273333353972
119,4781.238401847966
120,5183.9477603755595
121,4959.799760005625
122,5072.167594640033
123,5026.79944659129
124,5108.898075371402
125,5049.296563379648
126,6179.921665122098
127,6310.719360974306
128,6188.666928823154
129,6176.822362233432
130,5940.038298892441
131,5892.190444535265
132,5948.887015954604
133,5803.368909840831
134,5822.3538270334875
135,5884.956768392424
136,6192.047247373421
137,6130.777864675864
138,5810.322987904756
139,5793.812547798709
140,5215.748596303539
141,5297.3976113697545
142,5463.8005434585475
143,5650.4683188998115
144,5510.4720483203055
145,5540.876014477878
146,5356.810124703461
147,5467.280146603547
148,5624.046027742786
149,5631.392624446658
150,5798.4129649056695
151,5826.246286799836
152,6021.343691885092
153,6006.9488883727445
154,5713.327692809989
155,5667.716049544423
156,4893.415735296755
157,5042.810609173232
158,4979.0224327479245
159,5088.819831412075
160,5486.9037740762515
161,5497.683794827263
162,5326.953704341904
163,5412.379978143902
164,5210.738065122524
165,5158.195947860278
166,5245.504096564437
167,5251.290952489175
168,5382.700468224062
169,5417.14403927605
170,5366.576827686562
171,5394.481220098894
172,5627.046027841401
173,5517.602904458699
174,5920.852212353936
175,5767.86005006945
176,4943.643362070171
177,4791.900741823968
178,5126.646842672437
179,5106.384643371667
180,5144.78250050548
181,5139.2149305624025
182,5216.373116299574
183,5107.363383247242
184,5029.880780928517
185,5077.5346037866975
186,5714.60926896061
187,5688.298821592976
188,5639.947013511657
189,5579.823448239764
190,5566.750067196746
191,5543.573221853588
192,5568.8328986291945
193,5554.711521999422
194,5380.063642470303
195,5453.089907123562
196,5386.264119796075
197,5465.726267078044
198,5430.152412715487
199,5470.41373425624
200,5420.792627120698
201,5486.390853386656
202,5515.740031840444
203,5482.310888870034
204,5136.643879689272
205,5051.811035006664
206,5323.3060362469705
207,5322.285551873907
208,5277.160735158047
209,5240.856500171553
210,5384.035786050521
211,5303.143042684447
212,5336.459263517414
213,5318.171705541462
214,5351.087664121635
215,5379.888991125689
216,5340.236162146417
217,5279.813635749335
218,5331.458558518541
219,5270.070369236596
220,5451.676193911064
221,5418.562023950806
222,5298.615924494773
223,5427.083164461083
224,4792.356949333345
225,5039.003064713875
226,4836.068394685964
227,4850.5823793987665
228,5275.426664417515
229,5198.136532551804
230,5249.740873161622
231,5226.350142338147
232,5135.505498071682
233,5219.240285193981
234,5185.980850966911
235,5108.038902685693
236,5358.107663448016
237,5268.5482423621725
238,5055.589512423339
239,5235.471952555833
240,5234.16175791489
241,5169.138821224602
242,5004.606259582024
243,5289.832905290263
244,5205.866031228864
245,5195.3766621015675
246,5262.631056977013
247,5290.269795197829
248,5210.618950237177
249,5221.258124666887
250,5012.859436625342
251,5223.671280756504
252,5178.76924788137
253,5256.487700031472
254,5132.455134439367
255,5149.830324597594
256,5378.196678998926
257,5340.293965221573
258,5303.8061253938395
259,5307.647225853965
260,5142.803764993342
261,5100.34809773236
262,5352.451535411132
263,5330.818750227388
264,4521.192318457785
265,4578.1339386405525
266,4961.926725437604
